"DateTime";"2022 [Wh]";"2023 [Wh]";"2024 [Wh]"
"Juni 01";0;0;7828,325
"Juni 02";0;0;7726,7334
"Juni 03";0;0;4659,9697
"Juni 04";0;0;18631,277
"Juni 05";0;0;13125,875
"Juni 06";0;24417,04;14867,982
"Juni 07";0;24916,9;14469,359
"Juni 08";0;22780,78;10882,366
"Juni 09";0;25280,21;9877,414
"Juni 10";0;24303,56;17606,746
"Juni 11";0;24836,03;5601,034
"Juni 12";0;25866,25;17102,49
"Juni 13";0;26194,86;18526,05
"Juni 14";0;25871,81;12293,563
"Juni 15";0;21531,11;10197,623
"Juni 16";0;22407,94;16653,15
"Juni 17";0;23258,76;11797,793
"Juni 18";0;20652,75;16573,637
"Juni 19";0;20850,06;17608,447
"Juni 20";0;20999,07;9589,863
"Juni 21";0;15884,95;4796,902
"Juni 22";0;13538,5;4591,1016
"Juni 23";0;19363,81;8334,321
"Juni 24";0;26382,67;13343,213
"Juni 25";0;25791,33;15921,277
"Juni 26";0;24046,26;10476,83
"Juni 27";0;21706,91;16017,488
"Juni 28";0;21293,74;11414,655
"Juni 29";0;18964,12;10114,423
"Juni 30";0;8711,59;11106,347
30;0;;
