"DateTime";"2022 [Wh]";"2023 [Wh]";"2024 [Wh]"
"Juli 01";0;17209,18;13606,974
"Juli 02";0;17757,18;10167,906
"Juli 03";0;23028,62;7577,69
"Juli 04";0;20471,55;13271,23
"Juli 05";0;13196,48;13776,034
"Juli 06";0;23264,92;7119,1836
"Juli 07";0;24590,26;8560,014
"Juli 08";0;15507,7;14303,282
"Juli 09";0;23807,9;21332,896
"Juli 10";0;19964,16;11134,65
"Juli 11";0;22890,96;18505,953
"Juli 12";0;7861,71;12226,911
"Juli 13";0;18833,88;12776,835
"Juli 14";0;24561,13;19308,938
"Juli 15";0;20229,68;16263,819
"Juli 16";0;17505,18;16764,465
"Juli 17";0;19924,4;16555,5
"Juli 18";0;16735,25;22010,844
"Juli 19";0;21477,72;21577,465
"Juli 20";0;21959,2;21214,127
"Juli 21";0;14188,54;17028,396
"Juli 22";0;22897,41;10345,082
"Juli 23";0;21281,24;20358,943
"Juli 24";0;11565,62;16372,236
"Juli 25";0;16013,27;20754,178
"Juli 26";0;16493,18;20229,39
"Juli 27";0;15014,85;18945,742
"Juli 28";0;14026,51;9312,047
"Juli 29";0;10088,15;20569,832
"Juli 30";0;21785,13;19461,59
"Juli 31";0;20065,78;14679,715
