"DateTime";"2024 [Wh]";"2025 [Wh]";"2026 [Wh]"
"Feb. 01";1352,3909;1193,5109;5428,2896
"Feb. 02";4168,6924;1169,0189;5964,3716
"Feb. 03";7561,98;1795,9653;4861,373
"Feb. 04";6495,942;5328,8574;3073,796
"Feb. 05";7767,4136;2682,7173;2855,1184
"Feb. 06";7920,001;599,74854;3357,0088
"Feb. 07";5301,7505;6557,9365;8376,468
"Feb. 08";3345,6404;7455,2085;2082,6553
"Feb. 09";1357,2903;5993,442;3193,298
"Feb. 10";4786,034;3345,1426;2972,0664
"Feb. 11";5409,8525;1738,7253;2792,2207
"Feb. 12";3786,6794;3896,6523;1682,549
"Feb. 13";9098,851;1563,2332;7554,547
"Feb. 14";6658,273;2,928799;2069,3413
"Feb. 15";7706,454;406,91736;4198,0728
"Feb. 16";5292,7246;2433,835;3289,993
"Feb. 17";2723,552;2285,4248;4993,4355
"Feb. 18";5838,8047;2675,2947;951,1753
"Feb. 19";5075,168;6107,0522;1116,8206
"Feb. 20";7445,08;5066,872;5193,8213
"Feb. 21";8219,894;8871,858;2771,6116
"Feb. 22";1177,3488;7494,3184;5221,3867
"Feb. 23";6540,1426;3140,1152;6511,4873
"Feb. 24";8359,057;5125,9463;7025,6587
"Feb. 25";11364,263;3582,486;9221,615
"Feb. 26";5353,064;2552,8179;11124,285
"Feb. 27";6331,6064;7052,1235;11673,371
"Feb. 28";4170,693;5438,669;4354,957
28;0;;
