"DateTime";"2023 [Wh]";"2024 [Wh]";"2025 [Wh]"
"Sept. 01";18349,49;17278,725;6478,8755
"Sept. 02";18245,88;15917,323;14211,438
"Sept. 03";15762,68;12260,479;15238,273
"Sept. 04";18172,11;14969,376;7898,6953
"Sept. 05";18230,14;8494,068;10290,939
"Sept. 06";17754,32;17741,748;17495,973
"Sept. 07";17192,41;17106,055;17168,299
"Sept. 08";16729,34;4546,5654;8753,009
"Sept. 09";15662,2;7190,1055;9275,706
"Sept. 10";16416,66;12296,491;9439,433
"Sept. 11";16251,14;4329,788;9465,165
"Sept. 12";14052,16;11147,677;6565,753
"Sept. 13";6781,32;9406,589;11869,207
"Sept. 14";9367,01;8801,36;13209,397
"Sept. 15";13257,43;16900,5;16147,363
"Sept. 16";13378,35;4873,086;13205,521
"Sept. 17";14034,32;8214,705;14653,162
"Sept. 18";5204,22;14249,393;15756,264
"Sept. 19";13378,31;12763,346;15445,978
"Sept. 20";15449,05;13079,508;14748,669
"Sept. 21";10943,3;14640,292;9837,587
"Sept. 22";8140,89;12146,4;3749,0474
"Sept. 23";7694,99;7108,384;2512,5166
"Sept. 24";14601,34;13035,972;2492,5234
"Sept. 25";14822,96;11129,577;5479,603
"Sept. 26";13444,67;2258,9258;5000,724
"Sept. 27";12683,81;5107,756;6010,3545
"Sept. 28";12015,89;4624,8237;5909,598
"Sept. 29";12348,69;11023,775;12544,72
"Sept. 30";10723,93;10794,258;5616,9756
