"DateTime";"2024 [Wh]";"2025 [Wh]";"2026 [Wh]"
"Apr. 01";4703,3525;15913,8;9930,374
"Apr. 02";15268,908;18157,086;16833,666
"Apr. 03";6698,3594;17770,518;17606,043
"Apr. 04";8228,528;18042,34;12681,415
"Apr. 05";15877,515;18117,404;16124,255
"Apr. 06";15265,057;19685,463;17363,01
"Apr. 07";10181,718;19472,219;18574,447
"Apr. 08";12340,764;18862,482;19009,209
"Apr. 09";4951,7456;18623,19;18724,855
"Apr. 10";12193,083;18669,934;5353,0083
"Apr. 11";16994,41;18779,24;15663,327
"Apr. 12";16563,766;15843,902;3704,3938
"Apr. 13";15761,277;8303,634;6017,9565
"Apr. 14";17151,346;16699,834;6081,563
"Apr. 15";8423,196;14026,013;6447,6826
"Apr. 16";13484,15;8172,2383;18924,523
"Apr. 17";8364,617;5369,987;17907,318
"Apr. 18";7847,854;8069,575;18782,068
"Apr. 19";7457,722;20230,508;17632,47
"Apr. 20";10876,56;12317,359;18577,666
"Apr. 21";5358,0103;15345,592;19855,21
"Apr. 22";3058,8108;18983,773;21624,79
"Apr. 23";5871,572;14282,056;21665,248
"Apr. 24";10875,468;8286,84;21235,264
"Apr. 25";13660,412;11201,897;21002,537
"Apr. 26";12656,036;9651,172;19303,133
"Apr. 27";19230,342;18226,47;20210,736
"Apr. 28";13599,819;20753,34;13137,399
"Apr. 29";17076,912;21128,828;16393,06
"Apr. 30";16422,414;21363,865;22098,375
