"DateTime";"2023 [Wh]";"2024 [Wh]";"2025 [Wh]"
"Dez. 01";0;3941,0793;1053,2504
"Dez. 02";0;1860,1816;2117,2034
"Dez. 03";0;2934,665;772,80914
"Dez. 04";0;2742,9482;867,6791
"Dez. 05";0;2692,601;1250,8848
"Dez. 06";0,7990275;2669,6614;2403,9622
"Dez. 07";14,760569;1143,8293;1280,9088
"Dez. 08";6,1020617;2193,8838;2963,9705
"Dez. 09";1875,099;462,95398;3227,8774
"Dez. 10";1732,9949;357,59863;2415,9539
"Dez. 11";886,333;387,88892;1399,664
"Dez. 12";916,75696;528,2895;2314,4832
"Dez. 13";1756,7239;1807,2017;1350,6875
"Dez. 14";728,18024;1077,3661;991,81494
"Dez. 15";2372,0908;3562,8857;1383,7838
"Dez. 16";1497,814;4302,0386;1189,0197
"Dez. 17";1124,5807;3904,4346;2101,5967
"Dez. 18";2659,5513;2532,0337;1749,4576
"Dez. 19";4595,1216;824,5067;1382,8846
"Dez. 20";2329,8123;1447,2826;3825,0752
"Dez. 21";953,18805;2802,8225;620,3168
"Dez. 22";828,3196;401,47882;1310,2378
"Dez. 23";945,33673;5,4052553;470,19345
"Dez. 24";2285,3987;2112,0637;7,6959705
"Dez. 25";5132,2573;3209,0469;1034,2332
"Dez. 26";3726,1257;4304,5986;876,386
"Dez. 27";4640,607;1251,7361;1202,3741
"Dez. 28";1777,2856;2052,8052;3068,335
"Dez. 29";2109,4868;3653,284;1724,7854
"Dez. 30";4193,5767;1156,3289;2584,9917
"Dez. 31";1774,687;3904,0486;4781,162
