"DateTime";"2024 [Wh]";"2025 [Wh]";"2026 [Wh]"
"März 01";2548,6235;2938,4412;7041,4297
"März 02";7344,906;8536,924;9947,996
"März 03";6862,3823;12769,005;11516,615
"März 04";4840,8013;12791,044;12678,68
"März 05";4743,237;13004,483;11841,017
"März 06";2964,1494;12985,554;10598,12
"März 07";2665,0823;13176,531;11619,722
"März 08";10292,387;13426,443;11917,455
"März 09";10870,778;11705,295;10012,442
"März 10";4256,4893;6563,9165;12225,905
"März 11";12088,222;11188,354;8967,226
"März 12";3603,3503;4130,027;12115,597
"März 13";5056,419;4586,9043;13812,9
"März 14";11786,066;9174,703;3307,5554
"März 15";10627,778;1861,4045;5522,7046
"März 16";10473,738;2882,1697;6045,5356
"März 17";6499,6074;12121,516;13760,5
"März 18";3451,0806;16075,704;15711,004
"März 19";10440,759;15880,787;12508,304
"März 20";13795,636;13987,154;15903,292
"März 21";11383,258;10132,738;13848,939
"März 22";13889,803;14700,023;12842,696
"März 23";13173,428;9904,848;9774,135
"März 24";12248,389;12308,68;15586,32
"März 25";16494,594;8166,1206;7198,106
"März 26";13966,07;6824,9185;8034,2134
"März 27";8024,646;7462,2495;9610,039
"März 28";9287,737;8494,801;12311,466
"März 29";12466,853;5956,1514;6176,5747
"März 30";8520,317;14028,106;6543,42
"März 31";12522,668;9473,791;10229,387
