"DateTime";"2023 [Wh]";"2024 [Wh]";"2025 [Wh]"
"Okt. 01";12267,22;3487,1895;9949,31
"Okt. 02";12476,3;5689,11;11696,341
"Okt. 03";9924,55;5720,2563;6715,777
"Okt. 04";12024,48;4198,55;7865,933
"Okt. 05";10816,63;7436,5283;7374,6475
"Okt. 06";11441,32;6246,9585;6996,71
"Okt. 07";11988,64;9292,33;12254,448
"Okt. 08";11427,85;1535,1951;6091,7705
"Okt. 09";7884,61;8568,055;2777,0562
"Okt. 10";9485,87;7738,8276;9437,313
"Okt. 11";11350,09;9267,314;5484,6885
"Okt. 12";10141,39;5815,2275;6110,3096
"Okt. 13";10843,27;8464,418;3745,5713
"Okt. 14";4286,52;5646,153;4381,8257
"Okt. 15";7939,86;3458,6367;7187,0015
"Okt. 16";11211,01;2858,465;4326,636
"Okt. 17";7056,6;5219,5117;5520,852
"Okt. 18";2809,49;2174,1067;10662,198
"Okt. 19";5804,41;3527,0876;6257,4795
"Okt. 20";1800,12;3755,3777;2618,678
"Okt. 21";4004,17;6262,5044;7668,979
"Okt. 22";8948,41;6156,8105;3237,9133
"Okt. 23";5255,49;2067,2285;2811,04
"Okt. 24";1330,98;4367,2017;8052,5234
"Okt. 25";4351,33;2573,7556;2042,6298
"Okt. 26";3528,89;1775,8687;6916,081
"Okt. 27";5854,44;7419,746;831,3113
"Okt. 28";7891,61;4272,7705;8507,168
"Okt. 29";6037,4;2950,8293;7421,159
"Okt. 30";3637,17;1742,1582;6933,3354
"Okt. 31";4258,04;1780,0758;6223,5747
