"DateTime";"2024 [Wh]";"2025 [Wh]";"2026 [Wh]"
"Juli 01";13606,974;17857,387;14150,805
"Juli 02";10167,906;20662,3;24222,045
"Juli 03";7577,69;17863,193;21599,084
"Juli 04";13271,23;20137,414;25737,828
"Juli 05";13776,034;21505,936;22124,94
"Juli 06";7119,1836;12204,12;22645,064
"Juli 07";8560,014;7943,8853;22822,328
"Juli 08";14303,282;12011,742;15393,193
"Juli 09";21332,896;16016,024;23940,986
"Juli 10";11134,65;21460,398;24394,049
"Juli 11";18505,953;18899,557;23653,402
"Juli 12";12226,911;20842,35;24374,318
"Juli 13";12776,835;21242,277;19734,893
"Juli 14";19308,938;13317,304;16761,361
"Juli 15";16263,819;12340,802;15269,846
"Juli 16";16764,465;10295,139;19256,41
"Juli 17";16555,5;20370,01;21090,53
"Juli 18";22010,844;21036,357;19126,678
"Juli 19";21577,465;13018,322;17347,967
"Juli 20";21214,127;15246,748;23927,418
"Juli 21";17028,396;10916,404;23427,785
"Juli 22";10345,082;19734,992;23268,943
"Juli 23";20358,943;18593,617;21456,47
"Juli 24";16372,236;8964,729;23818,58
"Juli 25";20754,178;12718,901;17717,338
"Juli 26";20229,39;8511,825;14004,021
"Juli 27";18945,742;10877,687;21953,676
"Juli 28";9312,047;6394,1377;23119,719
"Juli 29";20569,832;13391,181;21836,762
"Juli 30";19461,59;11504,308;20315,2
"Juli 31";14679,715;11189,547;15277,759
