"DateTime";"2024 [Wh]";"2025 [Wh]";"2026 [Wh]"
"Juni 01";7828,325;17563,938;23376,186
"Juni 02";7726,7334;11186,239;14236,9
"Juni 03";4659,9697;15398,457;13981,65
"Juni 04";18631,277;11445,218;13115,233
"Juni 05";13125,875;14102,725;19392,95
"Juni 06";14867,982;12906,39;23772,05
"Juni 07";14469,359;7529,4443;24167,293
"Juni 08";10882,366;15886,19;17943,256
"Juni 09";9877,414;22335,916;7249,539
"Juni 10";17606,746;20028,307;8957,402
"Juni 11";5601,034;22338,643;20882,205
"Juni 12";17102,49;22149,975;6791,572
"Juni 13";18526,05;21618,598;24791,04
"Juni 14";12293,563;20146,277;26349,672
"Juni 15";10197,623;14769,398;25891,338
"Juni 16";16653,15;18379,496;17031,38
"Juni 17";11797,793;22989,303;23017,447
"Juni 18";16573,637;22030,814;24308,314
"Juni 19";17608,447;22143,148;20907,139
"Juni 20";9589,863;22168,668;23900,447
"Juni 21";4796,902;21054,643;23566,701
"Juni 22";4591,1016;21960,766;23343,207
"Juni 23";8334,321;18035,74;18504,932
"Juni 24";13343,213;22675,506;23822,498
"Juni 25";15921,277;21556,635;24650,527
"Juni 26";10476,83;11638,647;21966,32
"Juni 27";16017,488;18256,365;23219,602
"Juni 28";11414,655;21250,348;18096,488
"Juni 29";10114,423;21384,408;20156,715
"Juni 30";11106,347;18760,006;20709,338
