"DateTime";"2023 [Wh]";"2024 [Wh]";"2025 [Wh]"
"Nov. 01";6118,86;5813,9194;3222,7244
"Nov. 02";603,46;1035,267;969,5931
"Nov. 03";2919,79;1697,0737;7262,401
"Nov. 04";2928,29;2200,9368;7039,8193
"Nov. 05";3763,07;4718,1826;5777,3115
"Nov. 06";4812,76;4734,189;2302,7195
"Nov. 07";4511,9;1255,1744;2074,9604
"Nov. 08";7253,1597;2423,1948;1791,2611
"Nov. 09";1502,7183;1422,7277;2199,5125
"Nov. 10";4000,5652;1164,6775;1476,7852
"Nov. 11";3950,977;2177,861;6436,15
"Nov. 12";608,3053;1152,4407;4833,6543
"Nov. 13";1079,8224;762,7851;5584,531
"Nov. 14";474,49625;3703,838;4369,8164
"Nov. 15";4118,1997;5649,909;5221,661
"Nov. 16";3016,367;5761,0913;1750,2267
"Nov. 17";1910,6508;4245,255;1455,2079
"Nov. 18";2619,4885;4380,405;6369,551
"Nov. 19";1983,798;1736,985;4944,375
"Nov. 20";4282,587;3746,6096;3332,2932
"Nov. 21";2361,655;1716,7179;1615,2583
"Nov. 22";1118,4253;0;3982,6785
"Nov. 23";4012,0957;0;3749,4636
"Nov. 24";2172,0964;1,2293233;1016,5843
"Nov. 25";3456,2637;1927,9811;2392,7612
"Nov. 26";2121,65;4029,2905;1383,3905
"Nov. 27";2950,8564;3980,969;4735,972
"Nov. 28";1322,0941;523,33203;4782,617
"Nov. 29";5272,4907;4258,7603;4315,279
"Nov. 30";0;1234,6024;2213,1672
