"DateTime";"2022 [Wh]";"2023 [Wh]";"2024 [Wh]"
"Sept. 01";0;18349,49;17278,725
"Sept. 02";0;18245,88;15917,323
"Sept. 03";0;15762,68;12260,479
"Sept. 04";0;18172,11;14969,376
"Sept. 05";0;18230,14;8494,068
"Sept. 06";0;17754,32;17741,748
"Sept. 07";0;17192,41;17106,055
"Sept. 08";0;16729,34;4546,5654
"Sept. 09";0;15662,2;7190,1055
"Sept. 10";0;16416,66;12296,491
"Sept. 11";0;16251,14;4329,788
"Sept. 12";0;14052,16;11147,677
"Sept. 13";0;6781,32;9406,589
"Sept. 14";0;9367,01;8801,36
"Sept. 15";0;13257,43;16900,5
"Sept. 16";0;13378,35;4873,086
"Sept. 17";0;14034,32;8214,705
"Sept. 18";0;5204,22;14249,393
"Sept. 19";0;13378,31;12763,346
"Sept. 20";0;15449,05;13079,508
"Sept. 21";0;10943,3;14640,292
"Sept. 22";0;8140,89;12146,4
"Sept. 23";0;7694,99;7108,384
"Sept. 24";0;14601,34;13035,972
"Sept. 25";0;14822,96;11129,577
"Sept. 26";0;13444,67;2258,9258
"Sept. 27";0;12683,81;5107,756
"Sept. 28";0;12015,89;4624,8237
"Sept. 29";0;12348,69;11023,775
"Sept. 30";0;10723,93;10794,258
30;0;;
